Date,Jobless Claims,,,,,,Macrotrends Data Download
1/1/03,407000,,,,,,
2/1/03,421000,,,,,,
3/1/03,436000,,,,,,
4/1/03,444000,,,,,,
5/1/03,431000,,,,,,
6/1/03,429000,,,,,,
7/1/03,398000,,,,,,
8/1/03,407000,,,,,,
9/1/03,387000,,,,,,
10/1/03,379000,,,,,,
11/1/03,357000,,,,,,
12/1/03,349000,,,,,,
1/1/04,376000,,,,,,
2/1/04,348000,,,,,,
3/1/04,340000,,,,,,
4/1/04,339000,,,,,,
5/1/04,337000,,,,,,
6/1/04,348000,,,,,,
7/1/04,341000,,,,,,
8/1/04,352000,,,,,,
9/1/04,351000,,,,,,
10/1/04,332000,,,,,,
11/1/04,335000,,,,,,
12/1/04,320000,,,,,,
1/1/05,331000,,,,,,
2/1/05,314000,,,,,,
3/1/05,342000,,,,,,
4/1/05,334000,,,,,,
5/1/05,340000,,,,,,
6/1/05,311000,,,,,,
7/1/05,316000,,,,,,
8/1/05,318000,,,,,,
9/1/05,359000,,,,,,
10/1/05,322000,,,,,,
11/1/05,311000,,,,,,
12/1/05,302000,,,,,,
1/1/06,282000,,,,,,
2/1/06,293000,,,,,,
3/1/06,295000,,,,,,
4/1/06,321000,,,,,,
5/1/06,330000,,,,,,
6/1/06,309000,,,,,,
7/1/06,311000,,,,,,
8/1/06,314000,,,,,,
9/1/06,309000,,,,,,
10/1/06,328000,,,,,,
11/1/06,349000,,,,,,
12/1/06,341000,,,,,,
1/1/07,308000,,,,,,
2/1/07,322000,,,,,,
3/1/07,307000,,,,,,
4/1/07,301000,,,,,,
5/1/07,310000,,,,,,
6/1/07,317000,,,,,,
7/1/07,305000,,,,,,
8/1/07,329000,,,,,,
9/1/07,317000,,,,,,
10/1/07,328000,,,,,,
11/1/07,352000,,,,,,
12/1/07,360000,,,,,,
1/1/08,366000,,,,,,
2/1/08,354000,,,,,,
3/1/08,387000,,,,,,
4/1/08,370000,,,,,,
5/1/08,362000,,,,,,
6/1/08,392000,,,,,,
7/1/08,434000,,,,,,
8/1/08,442000,,,,,,
9/1/08,483000,,,,,,
10/1/08,480000,,,,,,
11/1/08,529000,,,,,,
12/1/08,533000,,,,,,
1/1/09,629000,,,,,,
2/1/09,652000,,,,,,
3/1/09,665000,,,,,,
4/1/09,620000,,,,,,
5/1/09,607000,,,,,,
6/1/09,594000,,,,,,
7/1/09,587000,,,,,,
8/1/09,564000,,,,,,
9/1/09,554000,,,,,,
10/1/09,522000,,,,,,
11/1/09,475000,,,,,,
12/1/09,468000,,,,,,
1/1/10,496000,,,,,,
2/1/10,488000,,,,,,
3/1/10,459000,,,,,,
4/1/10,449000,,,,,,
5/1/10,458000,,,,,,
6/1/10,464000,,,,,,
7/1/10,476000,,,,,,
8/1/10,467000,,,,,,
9/1/10,459000,,,,,,
10/1/10,453000,,,,,,
11/1/10,432000,,,,,,
12/1/10,404000,,,,,,
1/1/11,420000,,,,,,
2/1/11,385000,,,,,,
3/1/11,399000,,,,,,
4/1/11,468000,,,,,,
5/1/11,418000,,,,,,
6/1/11,421000,,,,,,
7/1/11,406000,,,,,,
8/1/11,409000,,,,,,
9/1/11,406000,,,,,,
10/1/11,399000,,,,,,
11/1/11,397000,,,,,,
12/1/11,376000,,,,,,
1/1/12,372000,,,,,,
2/1/12,365000,,,,,,
3/1/12,358000,,,,,,
4/1/12,372000,,,,,,
5/1/12,381000,,,,,,
6/1/12,372000,,,,,,
7/1/12,372000,,,,,,
8/1/12,377000,,,,,,
9/1/12,376000,,,,,,
10/1/12,364000,,,,,,
11/1/12,388000,,,,,,
12/1/12,362000,,,,,,
1/1/13,366000,,,,,,
2/1/13,342000,,,,,,
3/1/13,375000,,,,,,
4/1/13,331000,,,,,,
5/1/13,353000,,,,,,
6/1/13,340000,,,,,,
7/1/13,334000,,,,,,
8/1/13,325000,,,,,,
9/1/13,319000,,,,,,
10/1/13,347000,,,,,,
11/1/13,312000,,,,,,
12/1/13,332000,,,,,,
1/1/14,343000,,,,,,
2/1/14,342000,,,,,,
3/1/14,332000,,,,,,
4/1/14,344000,,,,,,
5/1/14,313000,,,,,,
6/1/14,310000,,,,,,
7/1/14,303000,,,,,,
8/1/14,301000,,,,,,
9/1/14,289000,,,,,,
10/1/14,290000,,,,,,
11/1/14,292000,,,,,,
12/1/14,286000,,,,,,
1/1/15,287000,,,,,,
2/1/15,318000,,,,,,
3/1/15,269000,,,,,,
4/1/15,268000,,,,,,
5/1/15,276000,,,,,,
6/1/15,277000,,,,,,
7/1/15,267000,,,,,,
8/1/15,278000,,,,,,
9/1/15,271000,,,,,,
10/1/15,274000,,,,,,
11/1/15,266000,,,,,,
12/1/15,277000,,,,,,
1/1/16,291000,,,,,,
2/1/16,271000,,,,,,
3/1/16,274000,,,,,,
4/1/16,280000,,,,,,
5/1/16,265000,,,,,,
6/1/16,265000,,,,,,
7/1/16,267000,,,,,,
8/1/16,260000,,,,,,
9/1/16,245000,,,,,,
10/1/16,264000,,,,,,
11/1/16,262000,,,,,,
12/1/16,238000,,,,,,
1/1/17,254000,,,,,,
2/1/17,235000,,,,,,
3/1/17,253000,,,,,,
4/1/17,242000,,,,,,
5/1/17,253000,,,,,,
6/1/17,243000,,,,,,
7/1/17,243000,,,,,,
8/1/17,239000,,,,,,
